#Ra, Dec, RRLIndicator, RRLtype, P_true, P_best, chi2dof, N, tID, phi, r0, P_template, rExt, d, uF, gF, rF, iF, zF, ugmin, ugminErr, grmin, grminErr, file #  
359.632273466,-1.00208419607,1,ab,0.625788437679,0.625780177677,4.58901365016,21,266,-0.265481414893,15.6072385459,0.604808830923,0.101,11.8,17.185,16.059,15.947,15.911,15.919,1.094,0.01,0.263,0.006,2263146773683749320.pkl
0.846733433293,-0.994195656381,1,ab,0.647260858223,0.647252813554,0.983881422516,26,234,-0.245624796572,15.4112136539,0.554513694095,0.098,11.07,17.087,15.933,15.791,15.733,15.731,1.128,0.006,0.265,0.004,2294496049214998325.pkl
359.4748442,0.0831175723236,1,ab,0.613291052572,0.613288211654,0.702748937536,23,278,-0.12111724234,17.2077151175,0.61630814387,0.103,23.94,18.812,17.638,17.429,17.378,17.371,1.206,0.019,0.282,0.011,2335151591163369476.pkl
0.635707329124,0.56859586681,1,ab,0.793004216445,0.792998522427,1.56921871058,25,114,0.216639922017,18.4050650355,0.797848004434,0.072,40.7,19.865,18.791,18.58,18.514,18.49,1.064,0.021,0.261,0.009,2366659196369021101.pkl
0.283444077818,1.17850012872,1,ab,0.547987422171,0.547997427563,0.735375040321,26,370,-0.120780906643,17.1194967443,0.589899426703,0.08,24.77,18.839,17.679,17.544,17.497,17.501,1.161,0.009,0.256,0.009,2384726371436753699.pkl
0.935661893214,1.11581447063,1,ab,0.641754351271,0.641758395993,1.51044349135,29,336,0.285394476044,16.5568156129,0.613291052572,0.089,17.75,18.134,16.989,16.777,16.703,16.685,1.1,0.018,0.279,0.007,2420719984083598201.pkl
3.2546946349,-0.58406842988,1,ab,0.612262983773,0.612261312684,2.10207423237,23,188,0.223583205469,17.5190653629,0.621679702237,0.09,29.12,19.288,18.058,17.859,17.792,17.78,1.244,0.023,0.283,0.011,2438505684174295649.pkl
3.17387197599,-0.460741270597,1,c,0.31149403602,0.539736106458,3.96727263978,21,192,0.069274921471,16.453516242,0.601955559798,0.075,16.76,17.991,16.761,16.795,16.846,16.898,1.182,0.01,0.037,0.007,2438523276358916783.pkl
356.841149637,-0.484506497438,1,ab,0.625055359102,0.625045628764,1.29557956343,21,180,0.203171239952,17.2305727409,0.616433178532,0.121,25.28,18.943,17.747,17.556,17.494,17.501,1.192,0.013,0.258,0.006,2443396311894848709.pkl
2.83765543725,0.170534581543,1,ab,0.562574562809,0.562577090764,1.81129083756,19,182,-0.0583835194351,16.0849905766,0.622160962207,0.09,15.35,17.831,16.648,16.492,16.461,16.461,1.157,0.017,0.268,0.007,2456590451428041141.pkl
2.15029148926,0.65959359868,1,ab,0.612522626959,0.612520667211,1.46539447057,27,314,0.130132882255,18.6715539493,0.606209461403,0.1,52.84,20.452,19.314,19.204,19.184,19.157,1.071,0.035,0.242,0.008,2456660820172226990.pkl
357.074935381,-0.0220822646624,1,ab,0.570202274343,0.570196720165,1.15559189399,22,178,0.233077447173,15.1149532633,0.5190620232,0.078,9.21,16.656,15.509,15.427,15.433,15.432,1.125,0.005,0.237,0.009,2461375526032225634.pkl
3.24436254652,0.218892289202,1,ab,0.631853138777,0.631869968752,1.7843675829,28,300,0.0236023055906,15.1029842948,0.621827770408,0.088,9.13,16.715,15.543,15.336,15.286,15.276,1.179,0.007,0.27,0.004,2474587257751602794.pkl
2.62953743474,1.02568004606,1,ab,0.509529275209,0.519412920165,4.75625927722,24,178,-0.168811835567,18.3081582081,0.5190620232,0.066,42.27,19.944,18.84,18.702,18.669,18.637,1.165,0.023,0.243,0.022,2492672025005135256.pkl
355.823216738,-0.49733721559,1,ab,0.566611085659,0.566643743554,1.0796569346,19,234,-0.199004332955,19.2829213508,0.554513694095,0.095,65.16,20.983,19.787,19.634,19.581,19.579,1.107,0.098,0.261,0.013,2497492283981469052.pkl
2.57534763751,1.17049850018,1,ab,0.738329601782,0.738312213353,2.85106745292,21,224,0.147855308059,15.0888076481,0.74296967787,0.067,8.6,16.54,15.416,15.201,15.111,15.096,1.107,0.008,0.265,0.003,2510704015700661800.pkl
354.249292838,-0.945111379053,1,ab,0.589419729139,0.589464627677,1.6067908547,30,266,0.206593945104,18.9141400872,0.604808830923,0.102,55.69,20.63,19.463,19.273,19.221,19.226,1.127,0.026,0.269,0.009,2551641032626136668.pkl
355.822028035,1.17423006123,1,ab,0.600623084598,0.600622306044,4.54977598331,23,208,-0.0975518650476,16.5226789735,0.601093225883,0.084,18.07,18.191,17.021,16.826,16.756,16.737,1.164,0.005,0.28,0.005,2587458723412695465.pkl
353.512576091,-0.566387479064,1,ab,0.626164075273,0.626178861654,1.22502151729,27,278,0.148201990841,17.8001062989,0.61630814387,0.112,31.64,19.444,18.244,18.033,17.963,17.955,1.176,0.019,0.282,0.011,2605701820340700672.pkl
6.38724113068,0.00673876496024,1,ab,0.555802020255,0.555821113208,2.94308791825,24,86,0.198534616218,16.278731134,0.636774835461,0.074,17.39,18.026,16.908,16.781,16.739,16.723,1.123,0.012,0.227,0.009,2636540922476256604.pkl
5.35702156327,1.00628583884,1,c,0.352261065186,0.373431293302,11.3243218789,25,264,-0.15104786481,17.1114044464,0.436911440463,0.059,21.3,18.512,17.32,17.257,17.256,17.273,1.174,0.01,0.129,0.004,2636664067778855617.pkl
354.635593834,0.856451083923,1,c,0.275605521495,0.507821627186,1.88016111317,19,138,0.0129463488415,18.935933211,0.459303362229,0.094,51.69,20.353,19.239,19.192,19.201,19.2,1.097,0.034,0.129,0.01,2641589879871187411.pkl
352.251414017,-1.05069911186,1,ab,0.587521807809,0.587511908764,2.42570904618,25,180,0.021877494695,15.1807382564,0.616433178532,0.113,9.69,16.818,15.649,15.493,15.435,15.426,1.16,0.011,0.255,0.005,2641818578289741312.pkl
6.20758648034,1.2156545377,1,ab,0.680391929066,0.680388075252,5.85517422402,24,146,0.24165480718,15.1980926842,0.658608658239,0.07,9.86,16.865,15.692,15.525,15.482,15.47,1.143,0.003,0.262,0.008,2690672078934878590.pkl
353.657634075,1.16598625516,1,ab,0.671164657116,0.671123108438,0.772309145141,22,250,-0.363731195138,19.2274527786,0.581709803143,0.103,63.24,20.853,19.735,19.552,19.499,19.461,0.998,0.066,0.273,0.008,2695668259771813829.pkl
7.18820767924,0.539369416139,1,ab,0.607426252954,0.607425113575,2.81817548601,23,352,0.0494362522332,15.8549113511,0.607426252954,0.064,12.65,17.394,16.244,16.053,15.998,15.997,1.152,0.01,0.277,0.007,2708598516514357675.pkl
352.217795873,0.482737367632,1,ab,0.536350731455,0.536358781329,7.36146329177,22,200,-0.285289160641,17.3954527251,0.476303326318,0.097,30.46,19.241,18.116,18.013,17.97,17.994,1.073,0.016,0.236,0.006,2731802609907107893.pkl
